,Unnamed: 0,Unnamed: 0.1,ch1_file,ch2_file,angle,shift,spec_ch1_files,spec_ch2_files,spec_gray_ch1_files,spec_gray_ch2_files
24,24,24,soundfiles//ch1//24_0_1000.wav,soundfiles//ch2//24_0_1000.wav,172.81538281332018,-127,C:\sound\spectrograms\soundfiles\ch1\0_3000_4000.png,C:\sound\spectrograms\soundfiles\ch2\0_3000_4000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_3000_4000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_3000_4000.jpg
25,25,25,soundfiles//ch1//25_0_1000.wav,soundfiles//ch2//25_0_1000.wav,122.85636201818905,-69,C:\sound\spectrograms\soundfiles\ch1\0_31000_32000.png,C:\sound\spectrograms\soundfiles\ch2\0_31000_32000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_31000_32000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_31000_32000.jpg
26,26,26,soundfiles//ch1//26_0_1000.wav,soundfiles//ch2//26_0_1000.wav,72.49292834431569,38,C:\sound\spectrograms\soundfiles\ch1\0_32000_33000.png,C:\sound\spectrograms\soundfiles\ch2\0_32000_33000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_32000_33000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_32000_33000.jpg
27,27,27,soundfiles//ch1//27_0_1000.wav,soundfiles//ch2//27_0_1000.wav,85.0315532669311,11,C:\sound\spectrograms\soundfiles\ch1\0_33000_34000.png,C:\sound\spectrograms\soundfiles\ch2\0_33000_34000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_33000_34000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_33000_34000.jpg
28,28,28,soundfiles//ch1//28_0_1000.wav,soundfiles//ch2//28_0_1000.wav,134.51330370981947,-90,C:\sound\spectrograms\soundfiles\ch1\0_34000_35000.png,C:\sound\spectrograms\soundfiles\ch2\0_34000_35000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_34000_35000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_34000_35000.jpg
29,29,29,soundfiles//ch1//29_0_1000.wav,soundfiles//ch2//29_0_1000.wav,27.925930665086284,113,C:\sound\spectrograms\soundfiles\ch1\0_35000_36000.png,C:\sound\spectrograms\soundfiles\ch2\0_35000_36000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_35000_36000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_35000_36000.jpg
30,30,30,soundfiles//ch1//30_0_1000.wav,soundfiles//ch2//30_0_1000.wav,138.41578302404903,-96,C:\sound\spectrograms\soundfiles\ch1\0_36000_37000.png,C:\sound\spectrograms\soundfiles\ch2\0_36000_37000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_36000_37000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_36000_37000.jpg
31,31,31,soundfiles//ch1//31_0_1000.wav,soundfiles//ch2//31_0_1000.wav,153.63307840316344,-115,C:\sound\spectrograms\soundfiles\ch1\0_37000_38000.png,C:\sound\spectrograms\soundfiles\ch2\0_37000_38000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_37000_38000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_37000_38000.jpg
32,32,32,soundfiles//ch1//32_0_1000.wav,soundfiles//ch2//32_0_1000.wav,88.18647920707552,4,C:\sound\spectrograms\soundfiles\ch1\0_38000_39000.png,C:\sound\spectrograms\soundfiles\ch2\0_38000_39000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_38000_39000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_38000_39000.jpg
33,33,33,soundfiles//ch1//33_0_1000.wav,soundfiles//ch2//33_0_1000.wav,105.83612722019498,-35,C:\sound\spectrograms\soundfiles\ch1\0_39000_40000.png,C:\sound\spectrograms\soundfiles\ch2\0_39000_40000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_39000_40000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_39000_40000.jpg
34,34,34,soundfiles//ch1//34_0_1000.wav,soundfiles//ch2//34_0_1000.wav,117.5705671750395,-59,C:\sound\spectrograms\soundfiles\ch1\0_40000_41000.png,C:\sound\spectrograms\soundfiles\ch2\0_40000_41000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_40000_41000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_40000_41000.jpg
35,35,35,soundfiles//ch1//35_0_1000.wav,soundfiles//ch2//35_0_1000.wav,169.9434074823405,-126,C:\sound\spectrograms\soundfiles\ch1\0_4000_5000.png,C:\sound\spectrograms\soundfiles\ch2\0_4000_5000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_4000_5000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_4000_5000.jpg
36,36,36,soundfiles//ch1//36_0_1000.wav,soundfiles//ch2//36_0_1000.wav,122.25376661246648,-68,C:\sound\spectrograms\soundfiles\ch1\0_41000_42000.png,C:\sound\spectrograms\soundfiles\ch2\0_41000_42000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_41000_42000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_41000_42000.jpg
37,37,37,soundfiles//ch1//37_0_1000.wav,soundfiles//ch2//37_0_1000.wav,48.41815386086328,85,C:\sound\spectrograms\soundfiles\ch1\0_42000_43000.png,C:\sound\spectrograms\soundfiles\ch2\0_42000_43000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_42000_43000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_42000_43000.jpg
38,38,38,soundfiles//ch1//38_0_1000.wav,soundfiles//ch2//38_0_1000.wav,2.9048474576466297,128,C:\sound\spectrograms\soundfiles\ch1\0_43000_44000.png,C:\sound\spectrograms\soundfiles\ch2\0_43000_44000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_43000_44000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_43000_44000.jpg
39,39,39,soundfiles//ch1//39_0_1000.wav,soundfiles//ch2//39_0_1000.wav,106.80243418385038,-37,C:\sound\spectrograms\soundfiles\ch1\0_44000_45000.png,C:\sound\spectrograms\soundfiles\ch2\0_44000_45000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_44000_45000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_44000_45000.jpg
40,40,40,soundfiles//ch1//40_0_1000.wav,soundfiles//ch2//40_0_1000.wav,48.76969736884282,84,C:\sound\spectrograms\soundfiles\ch1\0_45000_46000.png,C:\sound\spectrograms\soundfiles\ch2\0_45000_46000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_45000_46000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_45000_46000.jpg
41,41,41,soundfiles//ch1//41_0_1000.wav,soundfiles//ch2//41_0_1000.wav,140.0642369507517,-98,C:\sound\spectrograms\soundfiles\ch1\0_46000_47000.png,C:\sound\spectrograms\soundfiles\ch2\0_46000_47000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_46000_47000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_46000_47000.jpg
42,42,42,soundfiles//ch1//42_0_1000.wav,soundfiles//ch2//42_0_1000.wav,64.84682439051578,54,C:\sound\spectrograms\soundfiles\ch1\0_47000_48000.png,C:\sound\spectrograms\soundfiles\ch2\0_47000_48000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_47000_48000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_47000_48000.jpg
43,43,43,soundfiles//ch1//43_0_1000.wav,soundfiles//ch2//43_0_1000.wav,155.71204312088517,-117,C:\sound\spectrograms\soundfiles\ch1\0_48000_49000.png,C:\sound\spectrograms\soundfiles\ch2\0_48000_49000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_48000_49000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_48000_49000.jpg
44,44,44,soundfiles//ch1//44_0_1000.wav,soundfiles//ch2//44_0_1000.wav,67.64501496291253,48,C:\sound\spectrograms\soundfiles\ch1\0_49000_50000.png,C:\sound\spectrograms\soundfiles\ch2\0_49000_50000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_49000_50000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_49000_50000.jpg
45,45,45,soundfiles//ch1//45_0_1000.wav,soundfiles//ch2//45_0_1000.wav,136.73566867407658,-93,C:\sound\spectrograms\soundfiles\ch1\0_50000_51000.png,C:\sound\spectrograms\soundfiles\ch2\0_50000_51000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_50000_51000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_50000_51000.jpg
46,46,46,soundfiles//ch1//46_0_1000.wav,soundfiles//ch2//46_0_1000.wav,114.71911440205756,-53,C:\sound\spectrograms\soundfiles\ch1\0_5000_6000.png,C:\sound\spectrograms\soundfiles\ch2\0_5000_6000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_5000_6000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_5000_6000.jpg
47,47,47,soundfiles//ch1//47_0_1000.wav,soundfiles//ch2//47_0_1000.wav,112.2575012346832,-48,C:\sound\spectrograms\soundfiles\ch1\0_51000_52000.png,C:\sound\spectrograms\soundfiles\ch2\0_51000_52000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_51000_52000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_51000_52000.jpg
48,48,48,soundfiles//ch1//48_0_1000.wav,soundfiles//ch2//48_0_1000.wav,51.266228680066014,80,C:\sound\spectrograms\soundfiles\ch1\0_52000_53000.png,C:\sound\spectrograms\soundfiles\ch2\0_52000_53000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_52000_53000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_52000_53000.jpg
49,49,49,soundfiles//ch1//49_0_1000.wav,soundfiles//ch2//49_0_1000.wav,109.34682008604166,-42,C:\sound\spectrograms\soundfiles\ch1\0_53000_54000.png,C:\sound\spectrograms\soundfiles\ch2\0_53000_54000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_53000_54000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_53000_54000.jpg
50,50,50,soundfiles//ch1//50_0_1000.wav,soundfiles//ch2//50_0_1000.wav,153.0810238005513,-114,C:\sound\spectrograms\soundfiles\ch1\0_54000_55000.png,C:\sound\spectrograms\soundfiles\ch2\0_54000_55000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_54000_55000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_54000_55000.jpg
51,51,51,soundfiles//ch1//51_0_1000.wav,soundfiles//ch2//51_0_1000.wav,44.650572039718426,91,C:\sound\spectrograms\soundfiles\ch1\0_55000_56000.png,C:\sound\spectrograms\soundfiles\ch2\0_55000_56000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_55000_56000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_55000_56000.jpg
52,52,52,soundfiles//ch1//52_0_1000.wav,soundfiles//ch2//52_0_1000.wav,94.4782635599254,-10,C:\sound\spectrograms\soundfiles\ch1\0_56000_57000.png,C:\sound\spectrograms\soundfiles\ch2\0_56000_57000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_56000_57000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_56000_57000.jpg
53,53,53,soundfiles//ch1//53_0_1000.wav,soundfiles//ch2//53_0_1000.wav,36.64197866018765,103,C:\sound\spectrograms\soundfiles\ch1\0_57000_58000.png,C:\sound\spectrograms\soundfiles\ch2\0_57000_58000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_57000_58000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_57000_58000.jpg
54,54,54,soundfiles//ch1//54_0_1000.wav,soundfiles//ch2//54_0_1000.wav,130.24537506709382,-83,C:\sound\spectrograms\soundfiles\ch1\0_58000_59000.png,C:\sound\spectrograms\soundfiles\ch2\0_58000_59000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_58000_59000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_58000_59000.jpg
55,55,55,soundfiles//ch1//55_0_1000.wav,soundfiles//ch2//55_0_1000.wav,107.12819455682212,-37,C:\sound\spectrograms\soundfiles\ch1\0_6000_7000.png,C:\sound\spectrograms\soundfiles\ch2\0_6000_7000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_6000_7000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_6000_7000.jpg
56,56,56,soundfiles//ch1//56_0_1000.wav,soundfiles//ch2//56_0_1000.wav,133.50135258666,-88,C:\sound\spectrograms\soundfiles\ch1\0_7000_8000.png,C:\sound\spectrograms\soundfiles\ch2\0_7000_8000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_7000_8000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_7000_8000.jpg
57,57,57,soundfiles//ch1//57_0_1000.wav,soundfiles//ch2//57_0_1000.wav,168.79149737394087,-126,C:\sound\spectrograms\soundfiles\ch1\0_8000_9000.png,C:\sound\spectrograms\soundfiles\ch2\0_8000_9000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_8000_9000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_8000_9000.jpg
58,58,58,soundfiles//ch1//58_0_1000.wav,soundfiles//ch2//58_0_1000.wav,38.325440251273335,100,C:\sound\spectrograms\soundfiles\ch1\0_9000_10000.png,C:\sound\spectrograms\soundfiles\ch2\0_9000_10000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_9000_10000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_9000_10000.jpg
59,59,59,soundfiles//ch1//59_0_1000.wav,soundfiles//ch2//59_0_1000.wav,66.22955817533223,51,C:\sound\spectrograms\soundfiles\ch1\0_recorded.png,C:\sound\spectrograms\soundfiles\ch2\0_recorded.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_recorded.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_recorded.jpg
60,60,60,soundfiles//ch1//60_0_1000.wav,soundfiles//ch2//60_0_1000.wav,114.5178886274441,-53,C:\sound\spectrograms\soundfiles\ch1\100_0_1000.png,C:\sound\spectrograms\soundfiles\ch2\100_0_1000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\100_0_1000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\100_0_1000.jpg
61,61,61,soundfiles//ch1//61_0_1000.wav,soundfiles//ch2//61_0_1000.wav,150.3573821869661,-111,C:\sound\spectrograms\soundfiles\ch1\100_10000_11000.png,C:\sound\spectrograms\soundfiles\ch2\100_10000_11000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\100_10000_11000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\100_10000_11000.jpg
62,62,62,soundfiles//ch1//62_0_1000.wav,soundfiles//ch2//62_0_1000.wav,80.04611268983474,22,C:\sound\spectrograms\soundfiles\ch1\100_1000_2000.png,C:\sound\spectrograms\soundfiles\ch2\100_1000_2000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\100_1000_2000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\100_1000_2000.jpg
63,63,63,soundfiles//ch1//63_0_1000.wav,soundfiles//ch2//63_0_1000.wav,137.39511455689953,-94,C:\sound\spectrograms\soundfiles\ch1\100_11000_12000.png,C:\sound\spectrograms\soundfiles\ch2\100_11000_12000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\100_11000_12000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\100_11000_12000.jpg
64,64,64,soundfiles//ch1//64_0_1000.wav,soundfiles//ch2//64_0_1000.wav,68.7509757846037,46,C:\sound\spectrograms\soundfiles\ch1\100_12000_13000.png,C:\sound\spectrograms\soundfiles\ch2\100_12000_13000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\100_12000_13000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\100_12000_13000.jpg
